# Time-averaged data for fix velpos
# TimeStep v_vcmx v_vcmy v_vcmz v_xcmx v_xcmy v_xcmz
2001520 0.00017863 -0.00143811 -0.00127121 -8.01396 12.2077 -71.3612
2001530 -0.000487495 -0.00156303 -0.00244979 -8.01581 12.1918 -71.3799
2001540 -0.00116037 -0.00089341 -0.00293999 -8.02367 12.1791 -71.4076
2001550 -0.00232711 -0.000275293 -0.0030221 -8.04086 12.1737 -71.4373
2001560 -0.003315 -0.00044477 -0.00335652 -8.0695 12.1709 -71.4691
2001570 -0.00403582 -0.000830727 -0.00347219 -8.1062 12.164 -71.5035
2001580 -0.00488068 -0.000221896 -0.00328187 -8.15084 12.1578 -71.5375
2001590 -0.00487354 0.0008329 -0.00293481 -8.201 12.1611 -71.5687
2001600 -0.00332438 0.00145874 -0.00252743 -8.24285 12.1729 -71.596
2001610 -0.00155077 0.00179548 -0.00213738 -8.26703 12.1893 -71.6194
2001620 0.000166998 0.00195795 -0.00147995 -8.27398 12.2081 -71.638
2001630 0.00210249 0.00261984 -0.000289062 -8.26316 12.2304 -71.6467
2001640 0.00456713 0.00363696 -0.00088344 -8.22971 12.2613 -71.6496
2001650 0.00613471 0.00612221 -0.00471704 -8.17516 12.3086 -71.676
2001660 0.00688201 0.00836862 -0.00810161 -8.10972 12.3827 -71.7425
2001670 0.00720772 0.00962908 -0.00748949 -8.03889 12.4725 -71.8239
2001680 0.00734136 0.0103498 -0.00476094 -7.96604 12.5738 -71.8851
2001690 0.00692481 0.00937863 -0.00372893 -7.89406 12.6736 -71.9255
2001700 0.00603008 0.00714544 -0.00400335 -7.82903 12.7573 -71.964
2001710 0.00431067 0.00365842 -0.00382799 -7.77598 12.8125 -72.004
2001720 0.00123314 -0.000558825 -0.00209208 -7.74794 12.8274 -72.0352
2001730 -0.0010487 -0.00339557 0.000987136 -7.74851 12.8066 -72.0412
2001740 -0.00115463 -0.00555063 0.00375537 -7.76135 12.7616 -72.0167
2001750 -0.000160714 -0.00695297 0.00527578 -7.76796 12.6979 -71.9702
2001760 0.000506341 -0.00651332 0.00517341 -7.76577 12.6288 -71.9166
2001770 0.000369849 -0.00445566 0.00381439 -7.76057 12.573 -71.8711
2001780 -0.000232787 -0.00118611 0.00273035 -7.76009 12.5434 -71.8392
2001790 -0.000310502 0.00305177 0.00220466 -7.76311 12.5533 -71.8144
2001800 -0.000533172 0.00538586 0.00108227 -7.76689 12.5976 -71.7976
2001810 -0.00180906 0.00505224 0.000709577 -7.77704 12.6521 -71.7901
2001820 -0.0059432 0.00205951 0.00241874 -7.81317 12.6898 -71.7763
2001830 -0.00960673 -0.00170225 0.00496575 -7.89469 12.6906 -71.7388
2001840 -0.00809917 -0.0040297 0.00653257 -7.98686 12.6609 -71.6806
2001850 -0.00485055 -0.00507264 0.0072562 -8.05124 12.614 -71.6108
2001860 -0.00274244 -0.00431354 0.00704096 -8.08794 12.5657 -71.5386
2001870 -0.00211279 -0.00274191 0.00626773 -8.11105 12.5304 -71.4718
2001880 -0.0023386 -0.00145775 0.00523637 -8.13307 12.5097 -71.4141
2001890 -0.00245385 -7.0001e-05 0.00372855 -8.15737 12.5016 -71.3687
2001900 -0.00217403 0.00200642 0.00182223 -8.18074 12.5106 -71.3409
2001910 -0.00190231 0.00488588 0.000118004 -8.2009 12.5446 -71.3316
2001920 -0.00200568 0.00749024 -0.00138054 -8.22007 12.6074 -71.3377
2001930 -0.00252014 0.00889454 -0.00323874 -8.24237 12.6902 -71.3605
2001940 -0.00337441 0.00949703 -0.0049227 -8.27163 12.7826 -71.4019
2001950 -0.00433822 0.00959576 -0.00546735 -8.31017 12.8787 -71.4553
2001960 -0.00542432 0.00841241 -0.0038267 -8.35883 12.9704 -71.504
